[1409] \Global\Bouncer\Behaviour\Idle\Hangout
[1214] \Global\Bouncer\Behaviour\InVehicle\DrivingDummy
[7] \Global\Bouncer\Behaviour\InactiveStates\Dead
[3] \Global\Bouncer\Behaviour\InactiveStates\DownedState
[5] \Global\Bouncer\Behaviour\InactiveStates\OnFire
[4] \Global\Bouncer\Behaviour\InactiveStates\StunnedState
[6] \Global\Bouncer\Behaviour\InactiveStates\Trunked
[16] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn
[27] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\Attacked
[24] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\EliteGhoul
[25] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\EliteGhoul\Release
[28] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\Grappled
[26] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\HitStun
[1061] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT0
[1063] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT0\Decay
[1062] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT0\Increment
[1064] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT1
[1066] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT1\Decay
[1065] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT1\Increment
[1067] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT2
