[8543] \Global\CarAi\MasterSpawn
[8624] \Global\CarAi\MasterSpawn\Driver\Combat\Aiming\AimingSpawns\FiringPattern\Shoot\CantShoot
[8622] \Global\CarAi\MasterSpawn\Driver\Combat\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting
[8623] \Global\CarAi\MasterSpawn\Driver\Combat\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting\Firing\Fire
[8625] \Global\CarAi\MasterSpawn\Driver\Combat\Aiming\AimingSpawns\FiringPattern\Waiting
[8620] \Global\CarAi\MasterSpawn\Driver\Combat\Aiming\Bike
[8621] \Global\CarAi\MasterSpawn\Driver\Combat\Aiming\NotBike
[8612] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically
[8616] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically\LoseGripCounter\ForceFall
[8613] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically\LoseGripCounter\LoseGrip1
[8614] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically\LoseGripCounter\LoseGrip2
[8615] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically\LoseGripCounter\LoseGrip3
[8619] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically\LoseGripCounter\PeriodicallyLoseGrip\Cooldown
[8618] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically\LoseGripCounter\PeriodicallyLoseGrip\Swerve
[8617] \Global\CarAi\MasterSpawn\Driver\Combat\KnockoffHijacker\DriveEratically\LoseGripCounter\PeriodicallyLoseGrip\Wait
[8626] \Global\CarAi\MasterSpawn\Driver\Idle
[8641] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringAutomatic
[8642] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[8644] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[8645] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[8643] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[8649] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringCombatShotgun
