[11095] \Global\GlobalFace\MasterSpawn
[11244] \Global\GlobalFace\MasterSpawn\Emotion\Angry\Angry1
[11245] \Global\GlobalFace\MasterSpawn\Emotion\Angry\Angry2
[11246] \Global\GlobalFace\MasterSpawn\Emotion\Angry\Angry3
[11247] \Global\GlobalFace\MasterSpawn\Emotion\Cocky\Cocky1
[11248] \Global\GlobalFace\MasterSpawn\Emotion\Cocky\Cocky2
[11236] \Global\GlobalFace\MasterSpawn\Emotion\Dead\Dead
[11237] \Global\GlobalFace\MasterSpawn\Emotion\Happy\Happy1
[11238] \Global\GlobalFace\MasterSpawn\Emotion\Happy\Happy2
[11239] \Global\GlobalFace\MasterSpawn\Emotion\Happy\Happy3
[11252] \Global\GlobalFace\MasterSpawn\Emotion\Idle
[11240] \Global\GlobalFace\MasterSpawn\Emotion\Sad\Clothing_Store_Idle
[11241] \Global\GlobalFace\MasterSpawn\Emotion\Sad\Sad1
[11242] \Global\GlobalFace\MasterSpawn\Emotion\Sad\Sad2
[11243] \Global\GlobalFace\MasterSpawn\Emotion\Sad\Sad3
[11249] \Global\GlobalFace\MasterSpawn\Emotion\Stern\Stern1
[11250] \Global\GlobalFace\MasterSpawn\Emotion\Stern\Stern2
[11251] \Global\GlobalFace\MasterSpawn\Emotion\Stern\Stern3
[11143] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Attack
[11126] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Grapple\Grapple01
[11127] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Grapple\Grapple02
[11128] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Grapple\Grapple03
[11129] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Grapple\Grapple04
[11139] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Default\Reaction01
[11142] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Default\Reaction02
[11140] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Default\Reaction03
[11141] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Default\Reaction04
[11130] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\GroundKick
[11135] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Left\Reaction01
[11138] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Left\Reaction02
[11136] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Left\Reaction03
[11137] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Left\Reaction04
[11131] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Right\Reaction01
[11134] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Right\Reaction02
[11132] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Right\Reaction03
[11133] \Global\GlobalFace\MasterSpawn\Facial\Attacks\Strikes\Right\Reaction04
[11106] \Global\GlobalFace\MasterSpawn\Facial\Clothing_Store\Clothing_Store_Idle
[11105] \Global\GlobalFace\MasterSpawn\Facial\Clothing_Store\Clothing_Store_PickClothes
[11107] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Giv\GrapGIVVariation_01
[11108] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Giv\GrapGIVVariation_02
[11109] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Giv\GrapGIVVariation_03
[11110] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Giv\GrapGIVVariation_04
[11111] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Rcv\GrapRCVVariation_01
[11112] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Rcv\GrapRCVVariation_02
[11113] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Rcv\GrapRCVVariation_03
[11114] \Global\GlobalFace\MasterSpawn\Facial\Combat_Prop_Reactions\Rcv\GrapRCVVariation_04
[11099] \Global\GlobalFace\MasterSpawn\Facial\Crawl\Crawl_Hands_Tied
[11100] \Global\GlobalFace\MasterSpawn\Facial\Cut_Ropes_Hands_Tied\Cut_Ropes
[11096] \Global\GlobalFace\MasterSpawn\Facial\Dead\Dead
[11218] \Global\GlobalFace\MasterSpawn\Facial\Extertion\Extertion
[11219] \Global\GlobalFace\MasterSpawn\Facial\Extertion\Focused
[11209] \Global\GlobalFace\MasterSpawn\Facial\Extertion\LongJump_Fall
[11213] \Global\GlobalFace\MasterSpawn\Facial\Extertion\Shoot\Shoot_01
[11214] \Global\GlobalFace\MasterSpawn\Facial\Extertion\Shoot\Shoot_02
[11215] \Global\GlobalFace\MasterSpawn\Facial\Extertion\Shoot\Shoot_03
[11216] \Global\GlobalFace\MasterSpawn\Facial\Extertion\Shoot\Shoot_04
[11217] \Global\GlobalFace\MasterSpawn\Facial\Extertion\Sprint
[11210] \Global\GlobalFace\MasterSpawn\Facial\Extertion\VaultORLand\VaultORLand_01
[11211] \Global\GlobalFace\MasterSpawn\Facial\Extertion\VaultORLand\VaultORLand_02
[11212] \Global\GlobalFace\MasterSpawn\Facial\Extertion\VaultORLand\VaultORLand_03
[11101] \Global\GlobalFace\MasterSpawn\Facial\FireBreather\Dance
[11102] \Global\GlobalFace\MasterSpawn\Facial\FireBreather\Prepare
[11103] \Global\GlobalFace\MasterSpawn\Facial\FireBreather\Prepare\DrinkFluid
[11104] \Global\GlobalFace\MasterSpawn\Facial\FireBreather\Prepare\DrinkFluid\BlowFlame
[11184] \Global\GlobalFace\MasterSpawn\Facial\GlobalActions\ReactToTaunt\React_01
[11185] \Global\GlobalFace\MasterSpawn\Facial\GlobalActions\ReactToTaunt\React_02
[11186] \Global\GlobalFace\MasterSpawn\Facial\GlobalActions\ReactToTaunt\React_03
[11187] \Global\GlobalFace\MasterSpawn\Facial\GlobalActions\ReactToTaunt\React_04
[11188] \Global\GlobalFace\MasterSpawn\Facial\GlobalActions\UpperBodySpawn\Eating
[11119] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Environmental_and_ Limb_Break_Reactions\Default
[11115] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Environmental_and_ Limb_Break_Reactions\Variation_01
[11116] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Environmental_and_ Limb_Break_Reactions\Variation_02
[11117] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Environmental_and_ Limb_Break_Reactions\Variation_03
[11118] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Environmental_and_ Limb_Break_Reactions\Variation_04
[11124] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Grapple_Punch_Reactions\Default
[11120] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Grapple_Punch_Reactions\Variation_01
[11121] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Grapple_Punch_Reactions\Variation_02
[11122] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Grapple_Punch_Reactions\Variation_03
[11123] \Global\GlobalFace\MasterSpawn\Facial\Grapple_Reactions\Grapple_Punch_Reactions\Variation_04
[11170] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Block
[11156] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Counters\High\Counter_RCV
[11157] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Counters\High\Counter_RCV\Counter_RCV_2ndHit
[11152] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Counters\High\CoutnerGIV\GrapGIVVariation_01
[11153] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Counters\High\CoutnerGIV\GrapGIVVariation_02
[11154] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Counters\High\CoutnerGIV\GrapGIVVariation_03
[11155] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Counters\High\CoutnerGIV\GrapGIVVariation_04
[11169] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Dead\Dead
[11151] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Death_Touch\Shot_React
[11146] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Death_Touch\Variation_01
[11147] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Death_Touch\Variation_02
[11148] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Death_Touch\Variation_03
[11149] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Death_Touch\Variation_04
[11150] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Death_Touch\Variation_05
[11174] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Default
[11145] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Ground_PostHit\Ground_Hit_Reaction
[11144] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Ground_PostHit\Stunned
[11167] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Ground_Writhe\Default
[11158] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Heavy\Back
[11159] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Heavy\Default
[11168] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Knockout\Default
[11173] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Left
[11162] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Light\Back
[11160] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Light\Block
[11165] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Light\Default
[11164] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Light\Left
[11163] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Light\Right
[11161] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Light\Stun
[11172] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Right
[11171] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Stun
[11166] \Global\GlobalFace\MasterSpawn\Facial\HitTree\Weapons\Default
[11220] \Global\GlobalFace\MasterSpawn\Facial\Idle
[11225] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Cheering_NoDialogue\Cheer1
[11226] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Cheering_NoDialogue\Cheer2
[11227] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Cheering_NoDialogue\Cheer3
[11231] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Combat\Idle\Idle_1
[11232] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Combat\Idle\Idle_2
[11233] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Combat\Idle\Idle_3
[11234] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Idle_1
[11235] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Idle_2
[11228] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Idle_Happy\Happy1
[11229] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Idle_Happy\Happy2
[11230] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Idle_Happy\Happy3
[11221] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Talking_NoDialogue\Talking_1
[11222] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Talking_NoDialogue\Talking_2
[11223] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Talking_NoDialogue\Talking_3
[11224] \Global\GlobalFace\MasterSpawn\Facial\Idle\Default\Talking_NoDialogue\Talking_4
[11125] \Global\GlobalFace\MasterSpawn\Facial\Injured\Injured_Idle
[11207] \Global\GlobalFace\MasterSpawn\Facial\Karaoke_Instrumental\Guitar1
[11204] \Global\GlobalFace\MasterSpawn\Facial\Karaoke_Instrumental\Instrumental1
[11205] \Global\GlobalFace\MasterSpawn\Facial\Karaoke_Instrumental\Instrumental2
[11206] \Global\GlobalFace\MasterSpawn\Facial\Karaoke_Instrumental\Instrumental3
[11199] \Global\GlobalFace\MasterSpawn\Facial\Ped\Beggar_01
[11190] \Global\GlobalFace\MasterSpawn\Facial\Ped\Dancing_01
[11196] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_01\Idle
[11197] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_01\Idle\Drink
[11198] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_01\Idle\Drink\FinishDrink
[11193] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_From_CokeCan_01\OpenCan
[11194] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_From_CokeCan_01\OpenCan\Drink
[11195] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_From_CokeCan_01\OpenCan\Drink\FinishDrink
[11200] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_Tea\Idle
[11201] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_Tea\Idle\Drink
[11202] \Global\GlobalFace\MasterSpawn\Facial\Ped\Drink_Tea\Idle\Drink\FinishDrink
[11203] \Global\GlobalFace\MasterSpawn\Facial\Ped\Karaoke
[11191] \Global\GlobalFace\MasterSpawn\Facial\Ped\NoodlesEating_01
[11192] \Global\GlobalFace\MasterSpawn\Facial\Ped\PictureSmile_01
[11189] \Global\GlobalFace\MasterSpawn\Facial\Ped\Smoking_01
[11208] \Global\GlobalFace\MasterSpawn\Facial\Singing\Singing_01
[11097] \Global\GlobalFace\MasterSpawn\Facial\Strangle\Strangle_GIV
[11098] \Global\GlobalFace\MasterSpawn\Facial\Strangle\Strangle_RCV
[11178] \Global\GlobalFace\MasterSpawn\Facial\Talking\CombatEntry
[11175] \Global\GlobalFace\MasterSpawn\Facial\Talking\HasSpecificSpeechAnim
[11179] \Global\GlobalFace\MasterSpawn\Facial\Talking\Talking_01
[11180] \Global\GlobalFace\MasterSpawn\Facial\Talking\Talking_02
[11181] \Global\GlobalFace\MasterSpawn\Facial\Talking\Talking_03
[11182] \Global\GlobalFace\MasterSpawn\Facial\Talking\Talking_04
[11183] \Global\GlobalFace\MasterSpawn\Facial\Talking\Talking_05
[11176] \Global\GlobalFace\MasterSpawn\Facial\Talking\Taunt\Taunt_01
[11177] \Global\GlobalFace\MasterSpawn\Facial\Talking\Taunt\Taunt_02
