[24535] \Global\LOM_LockBox001\Collected
[24544] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Locked\SafeCrack
[24545] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Locked\SafeCrack\SafeCrackCYC
[24546] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Locked\SafeCrack\SafeCrackCYC\PerformAction_GrabItem
[24547] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Locked\SafeCrack\SafeCrackCYC\PerformAction_GrabItem\PickupSpawn
[24548] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Locked\SafeCrack_Fail
[24549] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Unlocked\PerformAction
[24550] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Unlocked\PerformAction\PerformAction_GrabItem
[24551] \Global\LOM_LockBox001\Interactions\LockedUnlocked\Unlocked\PerformAction\PerformAction_GrabItem\PickupSpawn
[24543] \Global\LOM_LockBox001\Interactions\POIHideEquipped
[24573] \Global\LOM_LockBox001\Interactions\PickupObject\NoObject
[24570] \Global\LOM_LockBox001\Interactions\PickupObject\PickupBuffs\PickupEnergyDrink
[24571] \Global\LOM_LockBox001\Interactions\PickupObject\PickupBuffs\PickupHappyEnding
[24572] \Global\LOM_LockBox001\Interactions\PickupObject\PickupBuffs\PickupHerbalTea
[24569] \Global\LOM_LockBox001\Interactions\PickupObject\PickupBuffs\PickupPorkBun
[24552] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\Pickup9mm
[24555] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupASSAULT_RIFLE
[24557] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupAntiriot
[24559] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupMACHINE_PISTOL
[24556] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupRIFLE_GRENADE
[24553] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupService
[24558] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupShotgunPump
[24560] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupUMP
[24554] \Global\LOM_LockBox001\Interactions\PickupObject\PickupFirearm\PickupUsp
[24561] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupBaton
[24562] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupBeerBottle
[24563] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupCleaver
[24566] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupCrowbar
[24564] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupKnife
[24565] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupPopCan
[24567] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupTireiron
[24568] \Global\LOM_LockBox001\Interactions\PickupObject\PickupMelee\PickupWoodenclub
[24536] \Global\LOM_LockBox001\NotCollected
[24541] \Global\LOM_LockBox001\Object\Animation\Opening
[24538] \Global\LOM_LockBox001\Object\Closed
[24542] \Global\LOM_LockBox001\Object\ClosedPlayingNIS
[24539] \Global\LOM_LockBox001\Object\Cracking
[24540] \Global\LOM_LockBox001\Object\Opened
[24537] \Global\LOM_LockBox001\UseConditions
