[19427] \Global\Missions\AMMission\Bow\Exit
[19426] \Global\Missions\AMMission\Bow\PerformAction
[19428] \Global\Missions\AMMission\ChargeAttack1
[19431] \Global\Missions\BA\SearchBody\Cycle\Cycle
[19429] \Global\Missions\BA\SearchBody\Into\AudiobankLoad
[19430] \Global\Missions\BA\SearchBody\Into\Into
[19432] \Global\Missions\BA\SearchBody\Out\Out
[19434] \Global\Missions\BL\Hide_Under_Counter
[19435] \Global\Missions\BL\Hide_Under_Counter\Hide_Under_Counter_CYC
[19436] \Global\Missions\BL\Phone_For_Help
[19442] \Global\Missions\BL\Ring_DoorBell_Out
[19440] \Global\Missions\BL\Ring_Doorbell
[19441] \Global\Missions\BL\Ring_Doorbell\Ring_DoorBell_CYC
[19437] \Global\Missions\BL\StruggleTest
[19439] \Global\Missions\BL\StruggleTest\Finish\Fail
[19438] \Global\Missions\BL\StruggleTest\Finish\Success
[19433] \Global\Missions\BL\Thug_LookForPlayer
[19447] \Global\Missions\BM\Hostage_Kneeling\Female
[19448] \Global\Missions\BM\Hostage_Kneeling\Male
[19445] \Global\Missions\BM\Hostage_Squatting\Cycle
[19444] \Global\Missions\BM\Hostage_Squatting\Into
[19446] \Global\Missions\BM\Hostage_Squatting\Out
[19449] \Global\Missions\BM\Hostage_Stand_LookDown\Cycle
[19443] \Global\Missions\BM\Uncle_Po_Bed_Idle
[19489] \Global\Missions\BTB\Monk_PullRope
[19486] \Global\Missions\BTB\Peggy_ShowFlowers
[19488] \Global\Missions\BTB\Peggy_ShowFlowers_Fail
[19487] \Global\Missions\BTB\Peggy_ShowFlowers_Success
[19485] \Global\Missions\BTB\Wei_PickFlowers
[19451] \Global\Missions\BreakArrest\Arrested_Thug
[19450] \Global\Missions\BreakArrest\Upset_Girl
[19459] \Global\Missions\BsL\BoatHijack\Driver\DriveIdle
[19460] \Global\Missions\BsL\BoatHijack\Driver\DriveIdle\DriveIdleToShoot
[19461] \Global\Missions\BsL\BoatHijack\Driver\DriveIdle\DriveIdleToShoot\ShootIdle
[19483] \Global\Missions\BsL\BoatHijack\Hop\Fall
[19484] \Global\Missions\BsL\BoatHijack\Hop\Fall\Anims\Car
[19472] \Global\Missions\BsL\BoatHijack\Hop\Hijack
[19474] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Anims\Car\Car
[19473] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Anims\Car\Car_Kidnap
[19475] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Anims\DoneAnim\DriverIdle
[19479] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Receive\Driver\PulledOut
[19480] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Receive\Driver\PulledOut\Anims\Car
[19478] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Receive\Driver\SlideOver
[19481] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Receive\Passenger
[19482] \Global\Missions\BsL\BoatHijack\Hop\Hijack\Receive\Passenger\Anims\Car
[19476] \Global\Missions\BsL\BoatHijack\Hop\Hijack\WaitForDriverSeat\Waiting
[19477] \Global\Missions\BsL\BoatHijack\Hop\Hijack\WaitForDriverSeat\Waiting\DoneWaiting
[19462] \Global\Missions\BsL\BoatHijack\Hop\Latch\Back\DirectlyBehindMiddle\Back
[19463] \Global\Missions\BsL\BoatHijack\Hop\Latch\Back\DirectlyBehindMiddle\Back\Anims\Car
[19466] \Global\Missions\BsL\BoatHijack\Hop\Latch\Back\PastRearEnd\BackLeft
[19467] \Global\Missions\BsL\BoatHijack\Hop\Latch\Back\PastRearEnd\BackLeft\Anims\Car
[19464] \Global\Missions\BsL\BoatHijack\Hop\Latch\Back\PastRearEnd\BackRight
[19465] \Global\Missions\BsL\BoatHijack\Hop\Latch\Back\PastRearEnd\BackRight\Anims\Car
[19468] \Global\Missions\BsL\BoatHijack\Hop\Latch\Default
[19469] \Global\Missions\BsL\BoatHijack\Hop\Latch\Default\Anims\Car
[19470] \Global\Missions\BsL\BoatHijack\Hop\Struggle
[19471] \Global\Missions\BsL\BoatHijack\Hop\Struggle\Anims\Car
[19456] \Global\Missions\BsL\Dodge\Cycle\Cycle
[19458] \Global\Missions\BsL\Dodge\Failure\Failure
[19455] \Global\Missions\BsL\Dodge\Into\Into
[19457] \Global\Missions\BsL\Dodge\Success\Success
[19491] \Global\Missions\CD\Hide_Under_Counter
[19490] \Global\Missions\CD\Point
[19492] \Global\Missions\CD\Tran_Peekout
[19452] \Global\Missions\CNY_DLC\SuicideBomber\Detonate
[19453] \Global\Missions\CNY_DLC\SuicideBomber\Detonate\MurderPlayer
[19454] \Global\Missions\CNY_DLC\SuicideBomber\Unhide
[19493] \Global\Missions\CopDraw\Angry_Thug_Watching
[19494] \Global\Missions\FK\Wei_Taunt
[19795] \Global\Missions\F_FC\IntroCam01
[19796] \Global\Missions\F_FC\IntroCam02
[19797] \Global\Missions\F_FC\IntroCam03
[19798] \Global\Missions\F_FC\IntroCam04
[19495] \Global\Missions\GD\Yell
[19505] \Global\Missions\GU\Arrive_At_Koi
[19504] \Global\Missions\GU\Jackie_Sitting_Dazed\Cycle
[19502] \Global\Missions\GU\WakeUp\ExitLoad
[19503] \Global\Missions\GU\WakeUp\ExitLoad\Exit
[19499] \Global\Missions\GU\WakeUp\LoadAnswer
[19500] \Global\Missions\GU\WakeUp\LoadAnswer\AnswerPhone
[19501] \Global\Missions\GU\WakeUp\LoadAnswer\AnswerPhone\TalkOnPhone
[19496] \Global\Missions\GU\WakeUp\LoadWakeUp
[19497] \Global\Missions\GU\WakeUp\LoadWakeUp\WakeUpStart
[19498] \Global\Missions\GU\WakeUp\LoadWakeUp\WakeUpStart\Startle
[19507] \Global\Missions\In\Fall\Fall
[19506] \Global\Missions\In\Fall_Off_Bike\Fall
[19508] \Global\Missions\J_DC\ThreatenTarget\Init\Behind\GrapGIV
[19509] \Global\Missions\J_DC\ThreatenTarget\Init\Behind\GrapRCV
[19510] \Global\Missions\J_DC\ThreatenTarget\Init\Front\GrapGIV
[19511] \Global\Missions\J_DC\ThreatenTarget\Init\Front\GrapRCV
[19512] \Global\Missions\J_DC\ThreatenTarget\Init\Idle\GrapGIV
[19513] \Global\Missions\J_DC\ThreatenTarget\Init\Idle\GrapRCV
[19518] \Global\Missions\J_DC\ThreatenTarget\Out\GrapGIV
[19519] \Global\Missions\J_DC\ThreatenTarget\Out\GrapRCV
[19514] \Global\Missions\J_DC\ThreatenTarget\Threaten\GrapGIV
[19515] \Global\Missions\J_DC\ThreatenTarget\Threaten\GrapRCV
[19516] \Global\Missions\J_DC\ThreatenTarget\Threaten\Idle\GrapGIV
[19517] \Global\Missions\J_DC\ThreatenTarget\Threaten\Idle\GrapRCV
[19526] \Global\Missions\KID\KidnapperAssassinate\KidnapperAssassinate_GIV
[19527] \Global\Missions\KID\KidnapperAssassinate\KidnapperAssassinate_RCV
[19524] \Global\Missions\KID\PickUpFromGarbageCan\ReachIntoGarbageCan
[19525] \Global\Missions\KID\PickUpFromGarbageCan\ReachIntoGarbageCan\Exit
[19523] \Global\Missions\KID\PickUpFromGarbageCan\SyncToFootPosition
[19521] \Global\Missions\KID\PlaceIntoGarbageCan\ReachIntoGarbageCan
[19522] \Global\Missions\KID\PlaceIntoGarbageCan\ReachIntoGarbageCan\Exit
[19520] \Global\Missions\KID\PlaceIntoGarbageCan\SyncToFootPosition
[19605] \Global\Missions\MB\Cam_Bus_Stop_01
[19606] \Global\Missions\MB\Cam_Bus_Stop_02
[19607] \Global\Missions\MB\Cam_Bus_Stop_03
[19603] \Global\Missions\MB\Halt_INTO
[19604] \Global\Missions\MB\Halt_INTO\Halt_CYC
