[30918] \Global\NIS\0xBA8BD853\0x89CC3129
[30461] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO
[30463] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\0x242D0311
[30469] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\0x809EB051
[30468] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\0x845FADE6
[30464] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\0x939AC68D
[30467] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\0x9A18FDE3
[30466] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\0x9ED9E054
[30465] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\Teapot
[30462] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_INTRO\Wei
[30470] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_OUTRO
[30476] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_OUTRO\Car
[30473] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_OUTRO\OldSaltyCrab
[30474] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_OUTRO\Thug00
[30475] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_OUTRO\Thug01
[30472] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_OUTRO\TwoChinTsao
[30471] \Global\NIS\0xE09127E6\BAD_LUCK\BAD_LUCK_OUTRO\Wei
[30477] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_INTRO
[30481] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_INTRO\PaperNote
[30478] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_INTRO\Ricky
[30479] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_INTRO\Sonny
[30480] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_INTRO\Wei
[30486] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIDEO_FILES
[30489] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIDEO_FILES\0xF0F067F9
[30488] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIDEO_FILES\Pendrew
[30487] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIDEO_FILES\Wei
[30482] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIVIENNE
[30483] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIVIENNE\Ricky
[30485] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIVIENNE\Vivienne
[30484] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_MID_VIVIENNE\Wei
[30490] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_OUTRO_VIVIENNE
[30494] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_OUTRO_VIVIENNE\Handgun
[30493] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_OUTRO_VIVIENNE\MemoryStick
[30492] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_OUTRO_VIVIENNE\Vivienne
[30491] \Global\NIS\0xE09127E6\BIG_HIT\BIG_HIT_OUTRO_VIVIENNE\Wei
[30648] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_EXPLOSION
[30649] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_EXPLOSION\BIG_SMILE
[30651] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_EXPLOSION\Boat
[30652] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_EXPLOSION\Gun
[30650] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_EXPLOSION\Wei
[30681] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_FAIL
[30684] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_FAIL\0x96AFA4F2
[30682] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_FAIL\BIG_SMILE
[30683] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_FAIL\Wei
[30633] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_FLEE
[30642] \Global\NIS\0xE09127E6\BIG_SMILE_LEE\BIG_SMILE_LEE_FLEE\0x11EF39D0
