[25219] \Global\POI_Cel\Interactions\CelIdles
[25233] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Cyclic\Female\CyclicActual
[25234] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Cyclic\Male\CyclicActual
[25235] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Exit\Female\ExitActual
[25236] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Exit\Male\ExitActual
[25225] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Female\LoadResources
[25228] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Female\LoadResources\IntroActual
[25226] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Female\LoadResources\WaitForResources
[25227] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Female\LoadResources\WaitForResources\Timeout
[25229] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Male\LoadResources
[25232] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Male\LoadResources\IntroActual
[25230] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Male\LoadResources\WaitForResources
[25231] \Global\POI_Cel\Interactions\CelIdles\CelAnims\Intro\Male\LoadResources\WaitForResources\Timeout
[25223] \Global\POI_Cel\Interactions\CelIdles\CelAnims\IsSpawning\IsSpawningActual\IsFemaleSpawning\IsFemaleSpawningActual
[25224] \Global\POI_Cel\Interactions\CelIdles\CelAnims\IsSpawning\IsSpawningActual\IsMaleSpawning\IsMaleSpawningActual
[25220] \Global\POI_Cel\Interactions\CelIdles\CelAnims\IsSpawning\LoadResources
[25221] \Global\POI_Cel\Interactions\CelIdles\CelAnims\IsSpawning\LoadResources\WaitForResources
[25222] \Global\POI_Cel\Interactions\CelIdles\CelAnims\IsSpawning\LoadResources\WaitForResources\Timeout
[25207] \Global\POI_Cel\Interactions\InScriptedState
[25210] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\Speaking\Cyclic\Female\CyclicActual
[25211] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\Speaking\Cyclic\Male\CyclicActual
[25212] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\Speaking\Exit\Female\ExitActual
[25213] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\Speaking\Exit\Male\ExitActual
[25214] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\Speaking\FastExit
[25208] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\Speaking\Intro\Female\IntroActual
[25209] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\Speaking\Intro\Male\IntroActual
[25215] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\WaitForLoad\Female
[25216] \Global\POI_Cel\Interactions\InScriptedState\CelAnims\WaitForLoad\Male
[25218] \Global\POI_Cel\Interactions\InScriptedState\Utility\LoadCell
[25217] \Global\POI_Cel\Interactions\InScriptedState\Utility\Loaded
[25206] \Global\POI_Cel\UseConditions
