[29578] \Global\POI_Wiping\Interactions\Wiping
[29579] \Global\POI_Wiping\Interactions\Wiping\Anims\MrsChuWiping
[29582] \Global\POI_Wiping\Interactions\Wiping\Anims\WaitingForSponge
[29585] \Global\POI_Wiping\Interactions\Wiping\Anims\WaitingForSponge\Anims\Default
[29584] \Global\POI_Wiping\Interactions\Wiping\Anims\WaitingForSponge\Anims\Female
[29583] \Global\POI_Wiping\Interactions\Wiping\Anims\WaitingForSponge\Anims\Sexy
[29581] \Global\POI_Wiping\Interactions\Wiping\Anims\Wiping
[29580] \Global\POI_Wiping\Interactions\Wiping\Anims\WipingFemale
[29588] \Global\POI_Wiping\Interactions\Wiping\Exit
[29586] \Global\POI_Wiping\Interactions\Wiping\ObjectSpawn\LoadResources
[29587] \Global\POI_Wiping\Interactions\Wiping\ObjectSpawn\LoadResources\AttachSponge
[29577] \Global\POI_Wiping\UseConditions
