[6195] \Global\Thug\MasterSpawn
[8311] \Global\Thug\MasterSpawn\Actions\AmbientFollowers\JoinInAttacking
[8312] \Global\Thug\MasterSpawn\Actions\AmbientFollowers\JoinInTaunting
[8314] \Global\Thug\MasterSpawn\Actions\AmbientFollowers\JoinInTaunting\Behavior\FaceTarget
[8313] \Global\Thug\MasterSpawn\Actions\AmbientFollowers\JoinInTaunting\Behavior\Taunt
[8315] \Global\Thug\MasterSpawn\Actions\AmbientTaunt\PlayerInRange\Allied\GreetTarget
[8317] \Global\Thug\MasterSpawn\Actions\AmbientTaunt\PlayerInRange\Hostile\Close
[8318] \Global\Thug\MasterSpawn\Actions\AmbientTaunt\PlayerInRange\Hostile\Far
[8320] \Global\Thug\MasterSpawn\Actions\AmbientTaunt\PlayerInRange\Hostile\Far\Behavior\FaceTarget
[8319] \Global\Thug\MasterSpawn\Actions\AmbientTaunt\PlayerInRange\Hostile\Far\Behavior\Taunt
[8316] \Global\Thug\MasterSpawn\Actions\AmbientTaunt\PlayerInRange\Indifferent\LookAtTarget
[8479] \Global\Thug\MasterSpawn\Actions\ApproachAndUsePOI\POI
[8306] \Global\Thug\MasterSpawn\Actions\Attacked\Grapple\Defenseless
[8305] \Global\Thug\MasterSpawn\Actions\Attacked\Grapple\GrappleBreak
[8307] \Global\Thug\MasterSpawn\Actions\Attacked\Melee\Attacked
[8323] \Global\Thug\MasterSpawn\Actions\BottleTossEnemyVehicle\TurnToTarget
[8324] \Global\Thug\MasterSpawn\Actions\BottleTossEnemyVehicle\TurnToTarget\BottleToss
[8338] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn
[8345] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn\Behaviour\Dialogue\Dialogue\Default
[8344] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn\Behaviour\Dialogue\Dialogue\Gun
[8341] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn\Behaviour\FarAway\AwareIdle
[8340] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn\Behaviour\FarAway\Call911
[8343] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn\Behaviour\FarAway\Curious
[8342] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn\Behaviour\FarAway\PointAt
[8339] \Global\Thug\MasterSpawn\Actions\DrawnWeaponReaction\MasterSpawn\Behaviour\TooClose
[6256] \Global\Thug\MasterSpawn\Actions\EquippedReactions\NoUpperBodySpawn\Lefthand\Default
[6255] \Global\Thug\MasterSpawn\Actions\EquippedReactions\NoUpperBodySpawn\Righthand\Default
[6254] \Global\Thug\MasterSpawn\Actions\EquippedReactions\NoUpperBodySpawn\Righthand\Umbrella
[8325] \Global\Thug\MasterSpawn\Actions\ExplosionReaction\Flinch
[8500] \Global\Thug\MasterSpawn\Actions\FlyingDebrisReaction\ShieldSelf
[8483] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Follower
[8484] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\GetInPedFormation
[8485] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\GetInPedFormation\LeaveGroup
[8486] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\NotifyGroup\GroupMemberAttacked
